K=200, k=6, Hardness=hard, accuracy=63.200000 
K=200, k=6, Hardness=easy, accuracy=78.400000 
K=200, k=7, Hardness=hard, accuracy=63.400000 
K=200, k=7, Hardness=easy, accuracy=76.200000 
K=200, k=8, Hardness=hard, accuracy=59.000000 
K=200, k=8, Hardness=easy, accuracy=75.800000 
K=200, k=9, Hardness=hard, accuracy=58.200000 
K=200, k=9, Hardness=easy, accuracy=73.000000 
K=300, k=1, Hardness=hard, accuracy=75.000000 
K=300, k=1, Hardness=easy, accuracy=83.400000 
K=300, k=2, Hardness=hard, accuracy=71.200000 
K=300, k=2, Hardness=easy, accuracy=82.800000 
K=300, k=3, Hardness=hard, accuracy=70.800000 
K=300, k=3, Hardness=easy, accuracy=81.200000 
K=300, k=4, Hardness=hard, accuracy=71.600000 
K=300, k=4, Hardness=easy, accuracy=85.200000 
K=300, k=5, Hardness=hard, accuracy=65.600000 
K=300, k=5, Hardness=easy, accuracy=82.000000 
K=300, k=6, Hardness=hard, accuracy=69.800000 
K=300, k=6, Hardness=easy, accuracy=80.400000 
K=300, k=7, Hardness=hard, accuracy=65.000000 
K=300, k=7, Hardness=easy, accuracy=79.800000 
K=300, k=8, Hardness=hard, accuracy=67.800000 
K=300, k=8, Hardness=easy, accuracy=82.600000 
K=300, k=9, Hardness=hard, accuracy=63.800000 
K=300, k=9, Hardness=easy, accuracy=77.400000 
K=400, k=1, Hardness=hard, accuracy=75.200000 
K=400, k=1, Hardness=easy, accuracy=84.800000 
K=400, k=2, Hardness=hard, accuracy=77.400000 
K=400, k=2, Hardness=easy, accuracy=90.000000 
K=400, k=3, Hardness=hard, accuracy=76.200000 
K=400, k=3, Hardness=easy, accuracy=87.400000 
K=400, k=4, Hardness=hard, accuracy=71.600000 
K=400, k=4, Hardness=easy, accuracy=85.000000 
K=400, k=5, Hardness=hard, accuracy=70.400000 
K=400, k=5, Hardness=easy, accuracy=85.400000 
K=400, k=6, Hardness=hard, accuracy=69.800000 
K=400, k=6, Hardness=easy, accuracy=83.000000 
K=400, k=7, Hardness=hard, accuracy=69.600000 
K=400, k=7, Hardness=easy, accuracy=84.000000 
K=400, k=8, Hardness=hard, accuracy=69.200000 
K=400, k=8, Hardness=easy, accuracy=83.400000 
K=400, k=9, Hardness=hard, accuracy=67.400000 
K=400, k=9, Hardness=easy, accuracy=83.000000 
K=500, k=1, Hardness=hard, accuracy=76.200000 
K=500, k=1, Hardness=easy, accuracy=88.000000 
K=500, k=2, Hardness=hard, accuracy=77.400000 
K=500, k=2, Hardness=easy, accuracy=85.200000 
K=500, k=3, Hardness=hard, accuracy=76.600000 
K=500, k=3, Hardness=easy, accuracy=86.200000 
K=500, k=4, Hardness=hard, accuracy=73.600000 
K=500, k=4, Hardness=easy, accuracy=84.400000 
K=500, k=5, Hardness=hard, accuracy=70.800000 
K=500, k=5, Hardness=easy, accuracy=85.000000 
K=500, k=6, Hardness=hard, accuracy=72.200000 
K=500, k=6, Hardness=easy, accuracy=87.200000 
K=500, k=7, Hardness=hard, accuracy=71.600000 
K=500, k=7, Hardness=easy, accuracy=85.200000 
K=500, k=8, Hardness=hard, accuracy=70.600000 
K=500, k=8, Hardness=easy, accuracy=82.800000 
K=500, k=9, Hardness=hard, accuracy=71.200000 
K=500, k=9, Hardness=easy, accuracy=86.000000 
K=600, k=1, Hardness=hard, accuracy=79.400000 
K=600, k=1, Hardness=easy, accuracy=87.200000 
K=600, k=2, Hardness=hard, accuracy=78.600000 
K=600, k=2, Hardness=easy, accuracy=91.000000 
K=600, k=3, Hardness=hard, accuracy=78.400000 
K=600, k=3, Hardness=easy, accuracy=89.400000 
